,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
347,Anthony Limbombe,1,1,14.4,76.0,0.3,0.2,0.0,6.49
348,Lois Diony,1,0.6,9.6,66.6,0.1,0.1,0.0,6.49
349,Boubakary Soumaré,1,0.3,19.2,86.4,0.0,1.0,0.0,6.49
350,Emil Krafth,1,0.5,30.2,73.4,0.4,1.7,0.0,6.49
351,Romain Amalfitano,0.0,0.5,32.4,78.8,0.2,3.2,0.1,6.48
352,Steve Mandanda,0.0,0.0,27.5,66.3,0.0,5.7,0.0,6.48
353,Stevan Jovetic,0.0,0.8,15.3,68.0,0.0,0.4,0.3,6.48
354,Cheick Traoré,0.0,0.6,20.8,69.4,0.6,0.6,0.0,6.48
355,Giulian Biancone,0.0,0.0,35.0,80.0,0.0,3,0.0,6.48
356,Jérémy Pied,2,0.6,24.9,78.1,0.5,0.8,0.0,6.48
357,Diafra Sakho,0.0,0.0,12.0,58.3,0.0,0.0,0.0,6.48
358,Yassine Benrahou,0.0,0.5,23.8,84.2,0.3,0.3,0.0,6.48
359,Christophe Kerbrat,0.0,0.0,34.4,78.0,0.0,4.4,0.0,6.47
360,Suk Hyun-Jun,0.0,0.4,7.4,51.9,0.1,0.1,0.0,6.47
361,Mihailo Ristic,0.0,0.2,10.4,73.1,0.1,0.2,0.0,6.47
362,Rui Fonte,0.0,0.4,10.4,78.6,0.0,0.3,0.0,6.47
363,Eddy Gnahore,2,0.9,33.8,89.5,0.0,1.1,0.1,6.47
364,Ronny Rodelin,0.0,0.6,17.3,72.1,0.2,1.2,0.0,6.46
365,Ganso,2,1.4,26.3,87.0,0.3,0.7,0.2,6.46
