,Player,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
101,Emil Audero,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,28.8,65.6,0.0,7.2,0.0
102,Elseid Hysaj,1.2,1.3,0.7,1.8,0.2,0.0,0.0,2.0,0.3,0.6,0.9,0.8,0.0,0.3,1.0,2.0,0.6,44.1,84.6,0.0,2.0,0.1
103,Marko Rog,2.9,1.4,2.4,0.9,0.4,0.0,0.0,0.0,0.6,0.6,1.4,1.6,0.0,0.9,1.4,0.0,0.6,43.7,88.1,0.1,1.6,0.0
104,Alessio Cragno,0.0,0.0,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,24.2,64.8,0.0,6.3,0.0
105,Gianluigi Donnarumma,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,29.2,77.0,0.0,5.5,0.0
106,Alexis Sánchez,0.5,0.2,0.6,0.0,0.0,0.0,7.0,5.0,1.0,1.1,0.8,1.1,0.3,1.1,1.4,5.0,1.1,16.0,80.0,0.4,0.9,0.2
107,M'Bala Nzola,0.5,0.1,2.2,0.8,0.0,0.0,11.0,3.0,1.8,0.9,1.1,1.1,1.0,1.6,3.3,3.0,0.9,18.4,84.3,0.0,0.7,0.0
108,Antonio Candreva,0.8,0.3,0.4,0.5,0.1,0.0,5.0,8.0,1.6,1.8,0.8,0.8,0.3,0.3,1.4,8.0,1.8,36.5,77.0,1.5,3.4,0.0
109,Cristián Zapata,1.5,1.3,0.5,4.7,0.9,0.0,0.0,0.0,0.3,0.1,0.1,0.4,0.0,0.2,0.4,0.0,0.1,40.8,87.1,0.0,2.0,0.0
110,Nikola Milenkovic,1.4,1.3,1.6,3.6,1.0,0.0,3.0,1.0,0.6,0.2,0.2,0.5,0.0,0.1,0.4,1.0,0.2,46.6,86.0,0.0,2.5,0.0
