,Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
84,Manuel Akanji,2,0.0,0.7,0.1,0.3,0.6,0.0,0.3,0.3,6.86
85,Diadie Samassékou,0.0,2,0.5,0.3,0.7,1.5,0.0,0.7,1.3,6.86
86,Fabian KlosArminia Bielefeld,5,2,1.6,0.9,0.2,1.6,0.4,0.9,2.4,6.85
87,Exequiel Palacios,0.0,0.0,0.2,0.9,0.7,1.8,0.0,1.2,1.0,6.84
88,Marcel Halstenberg,2,2,0.6,1.1,0.5,0.4,0.2,0.4,0.5,6.84
89,Obite Evan Ndicka,3,1,0.7,0.3,0.4,1.3,0.0,0.6,1.1,6.84
90,Salif Sané,0.0,0.0,0.5,0.3,0.3,1.0,0.1,0.4,0.1,6.84
91,Josip Brekalo,7,3,1.6,1.3,1,0.6,0.1,1.1,2.1,6.83
92,Alassane Plea,6,1,2.1,1,0.9,1.0,0.7,0.7,2.2,6.83
93,Ramy Bensebaini,4,0.0,0.9,0.4,0.5,1.2,0.1,0.4,1.3,6.83
94,Djibril Sow,0.0,2,0.4,0.6,0.6,1.4,0.1,0.8,1.3,6.83
95,Rafal Gikiewicz,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.83
96,Shkodran Mustafi,1,0.0,0.7,0.1,0.2,0.9,0.2,0.0,0.5,6.82
97,Jonas Hector,3,1,1.4,0.9,0.3,1.2,0.1,0.6,1.4,6.82
98,Florian Grillitsch,2,1,0.8,0.6,0.7,1.2,0.0,0.6,0.7,6.81
99,Giovanni Reyna,4,5,1.2,1.1,1.4,1.5,0.1,1.4,1.7,6.81
100,Amadou Haidara,3,1,1.4,1.1,0.6,0.5,0.2,0.7,1.4,6.81
101,Patrik Schick,9,1,1.9,0.9,0.7,0.8,0.2,0.7,2.1,6.81
102,Joakim NilssonArminia Bielefeld,0.0,0.0,0.2,0.1,0.1,0.6,0.0,0.0,0.3,6.8
103,Julian Baumgartlinger,2,0.0,0.4,0.3,0.4,0.8,0.0,0.5,0.4,6.8
104,Stefan Ortega MorenoArminia Bielefeld,0.0,1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,6.79
105,Nordi Mukiele,3,1,0.8,0.4,0.5,0.8,0.1,0.5,0.9,6.79
106,Sheraldo Becker,3,3,1.7,1.0,0.8,0.8,0.2,0.6,1.3,6.79
107,David Alaba,2,3,0.7,0.9,0.5,0.3,0.0,0.4,0.6,6.79
108,Chris Richards,0.0,1,0.2,0.4,0.2,0.5,0.0,0.2,0.5,6.79
109,André Hahn,8,3,1.5,0.6,0.6,0.9,0.5,0.8,1.7,6.79
110,Nico Schlotterbeck,1,0.0,1.4,0.2,0.7,1.6,0.0,0.3,0.6,6.79
111,Jhon Córdoba,7,1,2.3,1.1,0.7,2.1,0.8,1.4,3.0,6.78
112,Dominik Kohr,1,1,0.9,0.4,0.2,1.1,0.0,0.9,1.4,6.77
113,Ansgar Knauff,1,1,0.5,1.0,1.5,0.5,0.0,0.3,0.5,6.77
114,Jeremiah St. Juste,0.0,1,0.7,0.2,0.8,0.8,0.0,0.2,0.9,6.77
115,Yussuf Poulsen,5,4,1.7,0.5,1.0,1.1,0.3,1.0,1.4,6.77
116,Mahmoud Dahoud,1,1,0.8,0.5,1.0,0.9,0.0,1.0,1.1,6.77
117,Amin Younes,3,3,1.3,0.9,2.0,1.0,0.2,1.2,1.2,6.77
118,Emil Forsberg,7,4,1.2,1.2,0.7,0.9,0.2,0.8,1.3,6.76
119,Leandro Barreiro Martins,2,2,1.1,0.6,0.2,1.6,0.0,0.4,1.2,6.76
120,Maximilian Mittelstädt,0.0,2,0.6,0.9,0.7,0.7,0.0,0.4,0.9,6.76
121,Stefan Lainer,2,2,0.8,1.1,0.6,0.6,0.0,0.6,1.5,6.76
122,Lars Bender,1,2,0.6,0.5,0.4,0.9,0.0,0.2,0.9,6.76
123,Lucas Alario,11,2,1.6,0.6,0.6,0.7,0.4,0.6,1.8,6.75
124,Danny da Costa,0.0,1,0.2,0.8,1.1,0.3,0.1,0.3,1.1,6.75
125,Jonathan Tah,1,0.0,0.3,0.0,0.3,0.4,0.0,0.5,0.5,6.75
126,Kerem Demirbay,4,4,1.5,1.2,0.8,0.9,0.0,1.0,1.9,6.75
127,Alexander Sørloth,5,3,1.6,1,0.8,0.2,0.2,1.1,1.5,6.75
128,Yannick Gerhardt,2,4,1.1,0.9,0.5,0.9,0.2,1.0,1.4,6.75
129,Jamal Musiala,6,1,1.0,0.3,1.7,0.8,0.1,1.1,1.6,6.74
130,Jérôme Boateng,1,1,0.3,0.2,0.2,0.3,0.0,0.0,0.2,6.74
131,Axel Witsel,0.0,0.0,0.8,0.3,0.5,1.3,0.0,0.3,0.5,6.74
132,Iago,1,1,0.5,0.8,0.4,0.6,0.0,0.7,0.8,6.74
133,Gregor Kobel,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6.74
134,Baptiste Santamaría,1,2,1,0.5,0.6,0.9,0.0,0.9,1.9,6.74
135,Alexander Hack,1,0.0,0.3,0.3,0.3,0.6,0.0,0.0,0.3,6.74
136,Mattéo Guendouzi,2,1,0.7,0.7,1,2.0,0.0,1.1,1.2,6.73
137,Joshua Sargent,5,2,1.4,1,0.8,1.3,0.2,0.8,2.4,6.73
138,Lucas Tousart,1,0.0,1.2,0.3,0.6,0.8,0.0,0.6,1.3,6.73
139,Ralf Fährmann,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,6.73
140,Christian Günter,3,3,0.8,2,0.5,0.5,0.1,0.4,1.1,6.73
141,Rafael Czichos,1,0.0,0.4,0.1,0.2,0.5,0.1,0.1,0.2,6.72
142,Cédric BrunnerArminia Bielefeld,0.0,1,0.2,0.5,0.7,1.0,0.0,0.4,0.7,6.72
143,Koen Casteels,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.72
144,Jean-Philippe Mateta,7,1,1.9,0.8,0.8,0.5,0.9,1.5,3.1,6.72
145,Lucas Höler,4,4,1.3,0.6,0.8,2.3,0.4,0.9,2.6,6.71
146,Jude Bellingham,1,3,1.1,0.5,1,1.8,0.0,1.1,1.5,6.71
147,Sebastiaan Bornauw,1,1,0.8,0.0,0.2,0.4,0.1,0.0,0.3,6.71
148,Omar Alderete,0.0,0.0,0.4,0.2,0.9,0.3,0.0,0.2,0.4,6.71
149,Theodor Gebre Selassie,3,1,0.6,0.6,0.1,1.3,0.2,0.3,0.9,6.7
150,Roland Sallai,8,3,1.7,0.5,0.6,2,0.4,0.6,1.5,6.7
151,Tyler Adams,1,1,0.3,0.5,0.6,1.1,0.1,0.5,1.4,6.7
152,Thomas Delaney,1,1,0.4,0.3,0.1,1.3,0.1,0.3,0.9,6.7
153,Andreas Luthe,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.7
154,Lennart Grill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7
155,Philipp Mwene,1,2,0.4,0.8,0.8,0.7,0.1,0.5,1.3,6.69
156,Jean-Paul Boëtius,2,4,0.9,1.1,0.8,1.2,0.0,0.9,1.6,6.69
157,Maximilian Eggestein,2,5,0.7,0.9,0.4,1.2,0.0,0.7,1.2,6.69
158,Grischa Prömel,3,1,0.8,0.4,0.7,2.2,0.2,0.7,1.1,6.69
159,Pavel Kaderábek,0.0,3,0.5,1.1,0.3,0.7,0.2,0.3,0.7,6.69
160,Ryan Sessegnon,2,3,0.2,0.7,0.5,0.2,0.3,0.4,1.1,6.68
161,Christoph Kramer,0.0,2,0.3,0.4,0.8,0.7,0.0,0.3,0.8,6.68
162,Robin Knoche,1,0.0,0.4,0.1,0.2,0.4,0.1,0.2,0.4,6.68
163,Sebastian Andersson,3,0.0,2.5,0.4,0.3,0.4,0.4,0.6,2.8,6.68
164,Vladimír Darida,1,6,1.0,1.3,0.7,1.0,0.1,0.8,1.6,6.68
165,Waldemar Anton,0.0,1,0.4,0.3,0.4,1.1,0.0,0.8,0.8,6.68
166,Kevin Kampl,0.0,1,0.5,0.6,0.6,0.9,0.0,0.6,1.1,6.68
167,Erik Durm,1,2,1.0,0.7,0.5,0.7,0.0,0.5,1.3,6.67
168,Dedryck Boyata,1,0.0,0.5,0.3,0.3,0.2,0.0,0.1,0.4,6.66
169,Gonzalo Castro,4,2,1.2,1.6,0.8,0.6,0.0,0.7,1.2,6.66
170,Jeffrey Gouweleeuw,1,0.0,0.2,0.4,0.4,0.2,0.1,0.1,0.8,6.66
171,Ron-Robert Zieler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66
172,Breel Embolo,5,2,1.3,0.5,1.3,1.7,0.4,1.5,2.1,6.66
173,Keven Schlotterbeck,0.0,0.0,0.3,0.0,0.2,1.1,0.0,0.1,0.3,6.66
174,Dodi Lukébakio,5,5,1.4,0.8,1.3,1.1,0.7,1.4,1.7,6.65
175,Jonathan Schmid,2,2,0.7,0.8,0.6,0.5,0.0,0.4,0.9,6.65
176,Thomas Meunier,1,1,0.6,0.7,0.7,0.1,0.1,0.4,1.1,6.65
177,Ruben Vargas,6,3,1.3,0.8,1.2,1,0.3,1.1,1.6,6.65
178,Joel Pohjanpalo,6,0.0,1.6,0.4,0.3,0.4,0.6,0.2,1.7,6.65
179,Ömer Toprak,2,0.0,0.4,0.0,0.2,1,0.1,0.4,0.5,6.64
180,Niclas Füllkrug,6,0.0,1.8,0.3,0.4,0.7,0.8,0.9,1.3,6.64
181,Nadiem Amiri,2,6,1.4,1.3,0.7,0.9,0.1,0.8,1.7,6.64
