,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
81,Djibril Sidibé,3.3,1.6,1.0,0.1,1.3,1.2,0.1,0.0,0.0,4.0,0.5,0.8,0.6,0.8,0.1,0.5,1.1,4.0,0.8,37.9,78.6,0.7,2.2,0.0
82,Scott McTominay,1.6,1.1,1.3,0.0,1.2,0.6,0.2,0.0,4.0,1.0,1.1,0.6,1.1,2.0,0.0,1.1,1.3,1.0,0.6,37.4,80.9,0.1,2.3,0.1
83,Phil Bardsley,2.3,1.4,1.7,0.1,3.1,0.6,0.5,0.0,0.0,1.0,0.5,0.5,0.2,0.6,0.0,0.1,0.6,1.0,0.5,31.3,66.1,0.3,2.3,0.1
84,Mason Mount,1.0,0.4,1.0,0.0,0.5,0.9,0.1,0.0,7.0,5.0,2.1,1.4,1.1,1.0,0.1,1.4,2.2,5.0,1.4,33.5,85.7,0.9,0.7,0.1
85,Kurt Zouma,0.8,2.1,1.1,0.4,4.0,0.3,0.5,1.0,0.0,0.0,0.5,0.0,0.3,0.5,0.0,0.2,0.4,0.0,0.0,74.3,88.5,0.0,5.0,0.0
86,Etienne Capoue,2.5,2.3,1.9,0.0,1.9,1.6,0.4,0.0,0.0,3.0,0.6,0.7,0.8,1.3,0.0,0.9,0.6,3.0,0.7,47.8,81.3,0.3,3.7,0.1
87,Tammy Abraham,0.2,0.2,0.5,0.0,0.8,0.3,0.1,1.0,15.0,3.0,2.6,0.6,0.5,0.7,0.7,1.2,2.2,3.0,0.6,12.0,66.8,0.1,0.2,0.0
88,Kyle Walker,1.0,1.0,0.9,0.2,1.2,0.6,0.2,0.0,1.0,4.0,0.5,0.6,0.8,0.5,0.1,0.5,0.8,4.0,0.6,66.9,88.6,0.3,4.3,0.0
89,Reece James,1.5,0.9,0.9,0.1,0.9,0.8,0.3,0.0,0.0,2.0,0.8,1.0,1.3,0.9,0.0,0.9,0.7,2.0,1.0,42.3,85.9,1.1,1.7,0.0
90,Jonny Evans,1.3,1.5,0.9,0.4,4.5,0.3,0.5,1.0,1.0,1.0,0.6,0.2,0.2,0.7,0.1,0.1,0.3,1.0,0.2,65.6,86.8,0.0,3.1,0.0
91,N'Golo Kanté,2.0,2.0,2.0,0.0,1.4,0.9,0.2,0.0,3.0,0.0,0.8,1.2,1.1,0.5,0.0,1.3,1.5,0.0,1.2,51.5,84.9,0.5,1.8,0.0
92,Gerard Deulofeu,1.2,0.9,1.0,0.0,0.2,1.7,0.0,0.0,4.0,5.0,2.3,1.6,2.2,0.8,0.6,1.9,2.4,5.0,1.6,25.8,80.2,0.5,0.8,0.0
93,Philip Billing,2.1,1.9,1.1,0.0,2.8,1.4,0.5,0.0,1.0,1.0,1.0,0.4,0.6,0.7,0.1,0.8,1.5,1.0,0.4,33.9,74.8,0.0,1.3,0.0
94,Dan Burn,2.0,1.2,0.9,0.3,3.6,0.8,0.6,0.0,0.0,0.0,0.4,0.6,0.6,0.4,0.1,0.7,1.1,0.0,0.6,46.1,74.1,0.3,1.3,0.0
95,Olivier Giroud,0.4,0.1,0.9,0.0,0.7,0.6,0.1,0.0,8.0,0.0,2.2,0.4,0.2,0.5,0.5,0.4,0.8,0.0,0.4,16.6,68.2,0.0,0.0,0.1
96,Lewis Dunk,1.1,1.5,0.5,0.7,3.4,0.5,0.9,0.0,3.0,3.0,0.9,0.4,0.1,0.5,0.0,0.2,0.4,3.0,0.4,62.5,87.0,0.0,4.6,0.0
97,Ciaran Clark,1.4,0.8,0.6,0.2,5.6,0.4,1.0,0.0,2.0,0.0,0.4,0.1,0.4,0.5,0.0,0.1,0.2,0.0,0.1,23.0,77.3,0.0,2.0,0.0
98,Frédéric Guilbert,3.0,2.0,1.4,0.2,2.4,1.2,0.4,0.0,0.0,2.0,0.3,0.5,0.9,0.8,0.1,0.6,1.2,2.0,0.5,30.0,68.9,0.6,1.6,0.0
99,Oliver McBurnie,1.0,0.4,0.8,0.0,1.1,0.8,0.1,0.0,6.0,0.0,1.4,0.3,0.6,0.8,0.1,0.9,1.2,0.0,0.3,17.1,60.5,0.0,0.3,0.0
100,Fabinho,2.2,1.2,1.1,0.0,0.6,1.5,0.1,0.0,2.0,3.0,0.4,0.7,0.3,0.7,0.0,0.3,0.5,3.0,0.7,56.4,87.0,0.1,2.9,0.0
101,Romain Saïss,1.7,1.7,1.3,0.3,3.7,0.4,0.5,0.0,2.0,1.0,0.7,0.4,0.2,0.7,0.1,0.2,0.4,1.0,0.4,49.3,78.4,0.0,4.1,0.0
102,Charlie Taylor,1.6,1.2,0.7,0.1,2.6,0.8,0.4,0.0,0.0,1.0,0.0,0.5,0.8,1.2,0.1,0.5,0.9,1.0,0.5,29.7,68.7,0.8,1.4,0.0
103,Bernd Leno,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,26.7,72.3,0.0,2.5,0.0
104,Fikayo Tomori,1.9,1.5,0.5,0.4,2.8,0.3,0.5,0.0,1.0,0.0,0.5,0.3,0.6,0.4,0.1,0.3,0.7,0.0,0.3,76.7,87.4,0.1,2.8,0.1
105,Youri Tielemans,1.4,0.6,0.9,0.0,0.3,1.4,0.1,0.0,3.0,6.0,1.5,1.5,0.8,1.3,0.0,0.7,1.3,6.0,1.5,48.1,83.0,0.4,2.7,0.1
106,Ben Mee,1.3,1.3,0.8,0.5,5.0,0.4,1.0,0.0,1.0,1.0,0.5,0.3,0.2,0.7,0.1,0.1,0.4,1.0,0.3,39.3,71.4,0.0,3.2,0.0
107,Fred,2.1,1.3,1.4,0.0,0.9,2.6,0.3,0.0,0.0,0.0,1.4,1.2,1.4,1.2,0.0,0.9,1.6,0.0,1.2,57.5,87.5,0.5,3.8,0.0
108,Dele Alli,1.4,0.7,0.5,0.0,0.6,1.0,0.1,0.0,8.0,4.0,1.7,0.9,1.2,1.3,0.2,1.6,2.0,4.0,0.9,32.4,76.3,0.0,0.7,0.2
109,Dominic Calvert-Lewin,0.2,0.2,1.6,0.0,1.0,0.3,0.1,0.0,13.0,1.0,2.4,0.4,0.4,1.2,0.4,0.6,2.7,1.0,0.4,15.4,64.0,0.1,0.3,0.0
110,Kyle Walker-Peters,1.3,1.4,0.6,0.1,1.7,1.0,0.3,0.0,0.0,0.0,0.2,0.4,1.7,2.1,0.1,0.6,0.9,0.0,0.4,34.7,76.9,0.0,1.0,0.0
111,Calum Chambers,1.9,1.1,1.3,0.2,2.9,0.4,0.5,0.0,1.0,1.0,0.9,0.5,0.8,0.3,0.0,0.7,1.1,1.0,0.5,56.9,82.4,0.3,2.5,0.0
112,John Fleck,1.2,0.8,0.8,0.0,0.7,1.4,0.1,0.0,5.0,2.0,1.0,1.3,1.5,0.7,0.0,0.6,1.5,2.0,1.3,33.3,80.3,1.1,1.3,0.1
113,Phil Foden,0.6,0.3,0.5,0.0,0.1,0.6,0.0,0.0,5.0,2.0,1.5,0.8,1.1,0.6,0.0,0.7,0.8,2.0,0.8,21.5,88.5,0.3,0.7,0.0
114,Matt Targett,1.9,2.0,1.0,0.1,2.4,1.1,0.3,0.0,1.0,2.0,0.3,1.0,0.3,0.6,0.0,0.5,0.6,2.0,1.0,33.8,72.6,0.8,1.8,0.1
115,Fernandinho,1.7,0.8,0.9,0.6,2.7,0.6,0.5,1.0,0.0,1.0,0.6,0.3,0.4,0.6,0.0,0.2,0.5,1.0,0.3,74.1,89.8,0.0,4.4,0.0
116,Luke Shaw,1.4,1.0,1.0,0.2,2.1,0.6,0.3,0.0,0.0,0.0,0.5,0.8,0.9,0.4,0.2,0.1,0.6,0.0,0.8,47.6,87.4,0.4,0.5,0.0
117,Jorginho,2.1,2.1,0.9,0.0,0.8,1.8,0.2,0.0,4.0,2.0,0.4,0.7,0.4,1.0,0.0,0.7,0.6,2.0,0.7,72.8,88.4,0.0,4.3,0.2
118,Ross Barkley,0.8,0.3,0.4,0.0,0.3,0.6,0.1,0.0,1.0,4.0,1.9,1.1,1.3,0.7,0.0,1.6,1.2,4.0,1.1,29.4,89.0,0.1,1.9,0.2
119,Jetro Willems,1.9,0.9,0.5,0.2,2.0,1.1,0.3,0.0,2.0,2.0,0.7,0.8,1.1,0.9,0.1,0.4,1.1,2.0,0.8,22.6,76.9,0.3,0.5,0.1
120,Tariq Lamptey,0.9,2.0,1.6,0.1,1.9,0.9,0.0,0.0,0.0,1.0,0.3,0.8,1.9,2.1,0.0,0.9,1.6,1.0,0.8,21.4,83.6,0.4,0.3,0.0
121,Dani Ceballos,1.9,1.3,0.8,0.0,0.5,1.8,0.1,0.0,0.0,2.0,0.5,1.2,1.1,1.5,0.0,1.3,1.0,2.0,1.2,52.1,87.9,0.4,3.2,0.1
122,Benjamin Mendy,0.9,0.8,0.6,0.3,0.9,0.9,0.1,0.0,0.0,2.0,0.5,1.1,1.0,0.1,0.1,0.9,0.7,2.0,1.1,58.1,88.4,1.2,1.7,0.0
123,Michael Keane,1.0,1.4,0.6,0.6,4.8,0.3,0.9,1.0,2.0,0.0,0.5,0.2,0.0,0.3,0.0,0.1,0.2,0.0,0.2,46.7,82.8,0.0,2.9,0.0
