Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Óscar Melendo,0,5,0.3,1.1,1.1,1.8,0,1,1.2,6.6
Joaquín Fernández,1,0,0.5,0.1,0,0.6,0,0,0.2,6.6
Wesley Hoedt,0,0,0.4,0.5,0.4,0.6,0,0.1,0.3,6.6
Alberto García,0,0,0,0,0,0.1,0,0,0.1,6.6
Maxime Gonalons,0,0,0.2,0.4,0.8,0.6,0,0.5,0.5,6.6
Santiago Cáseres,0,1,0.2,0.7,0.5,0.6,0,0.2,0.5,6.6
Recio,0,0,0.6,0.4,0.6,1.5,0,0.5,0.6,6.6
Gonzalo Escalante,4,1,0.7,0.3,0.7,0.6,0,0.6,0.8,6.59
Dimitri Foulquier,3,2,0.5,0.6,1,1,0.1,1.4,1.9,6.59
Rober Pier,1,0,0.2,0.2,0.3,0.4,0,0.2,0.6,6.59
Adrián Diéguez,0,0,0.1,0.1,0.7,1,0,0.1,0.9,6.59
Quincy Promes,2,3,0.9,0.9,0.8,0.4,0.3,0.5,1.2,6.59
Miguel Layún,0,1,1.5,1.5,0.6,0.5,0,0.9,1.8,6.59
Facundo Roncaglia,0,0,0.1,0.2,0.2,0.7,0,0.8,0.7,6.59
Enes Ünal,6,3,1.6,0.6,0.5,1.2,0.5,1.1,1.7,6.59
Marc Cucurella,1,2,0.7,1,0.5,0.5,0.3,0.8,1.6,6.58
Aday Benítez,0,2,0.9,1.3,0.6,0.8,0,0.4,0.8,6.58
Douglas Luiz,0,0,0.7,0.4,1,1.3,0,0.7,0.9,6.58
Robin Le Normand,0,1,0.5,0.5,0.3,0.5,0,0,0.5,6.58
Gustavo Cabral,0,0,0.7,0.2,0,0.3,0.2,0.3,0.4,6.58
Tomás Vaclik,0,0,0,0,0,0.1,0,0,0,6.58
Óscar De Marcos,1,2,0.3,0.9,0.3,0.4,0.3,0.5,1.2,6.57
David Costas,0,0,0.1,0,0.1,0.5,0.1,0.3,0.2,6.57
Rúben Vezo,0,0,0.5,0.5,0.3,1,0,0,0.5,6.57
Sergio Álvarez,0,0,0.1,0.1,0.1,0.3,0.1,0.3,0.1,6.57
