,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
286,Óscar Melendo,5,1.1,27.1,85.3,0.2,0.7,0.2,6.6
287,Joaquín Fernández,0.0,0.1,23.7,78.2,0.0,1.2,0.0,6.6
288,Wesley Hoedt,0.0,0.5,48.9,84.7,0.1,4.6,0.0,6.6
289,Alberto García,0.0,0.0,27.7,65.4,0.0,7.9,0.0,6.6
290,Maxime Gonalons,0.0,0.4,33.3,82.6,0.0,3.1,0.0,6.6
291,Santiago Cáseres,1,0.7,37.5,90.8,0.0,2.9,0.0,6.6
292,Recio,0.0,0.4,36.2,84.6,0.1,2.0,0.0,6.6
293,Gonzalo Escalante,1,0.3,23.6,78.2,0.0,1.2,0.0,6.59
294,Dimitri Foulquier,2,0.6,15.9,62.8,0.2,0.9,0.0,6.59
295,Rober Pier,0.0,0.2,33.2,81.6,0.0,3.0,0.0,6.59
296,Adrián Diéguez,0.0,0.1,22.7,73.0,0.0,1.3,0.0,6.59
297,Quincy Promes,3,0.9,22.9,78.9,0.4,0.8,0.0,6.59
298,Miguel Layún,1,1.5,25.0,79.5,1.9,0.9,0.0,6.59
299,Facundo Roncaglia,0.0,0.2,43.9,84.1,0.0,1.2,0.0,6.59
300,Enes Ünal,3,0.6,15.9,69.5,0.1,0.3,0.0,6.59
301,Marc Cucurella,2,1,27.4,78.8,0.5,0.5,0.0,6.58
302,Aday Benítez,2,1.3,21.9,80.8,1,1.3,0.0,6.58
303,Douglas Luiz,0.0,0.4,31.7,84.5,0.1,2.9,0.0,6.58
304,Robin Le Normand,1,0.5,55.0,88.2,0.0,3.8,0.0,6.58
305,Gustavo Cabral,0.0,0.2,37.8,87.1,0.0,1.9,0.0,6.58
306,Tomás Vaclik,0.0,0.0,24.6,52.0,0.0,5.7,0.0,6.58
307,Óscar De Marcos,2,0.9,34.3,77.1,0.7,1.4,0.0,6.57
308,David Costas,0.0,0.0,45.5,88.1,0.0,3.2,0.0,6.57
309,Rúben Vezo,0.0,0.5,21.8,75.9,0.3,1.3,0.0,6.57
310,Sergio Álvarez,0.0,0.1,26.2,79.3,0.0,1.8,0.0,6.57
311,Jordi Masip,0.0,0.0,28.1,44.5,0.0,8.2,0.0,6.57
312,Gerónimo Rulli,0.0,0.0,36.4,68.9,0.0,7.3,0.0,6.57
313,Markel Susaeta,2,1.6,23.9,82.7,1.4,0.2,0.0,6.57
314,Ander Barrenetxea,0.0,0.8,11.7,78.1,0.0,0.1,0.0,6.56
315,Gorka Elustondo,0.0,0.6,28.4,81.0,0.2,2.2,0.0,6.56
316,Raúl García,0.0,0.0,17.6,64.8,0.2,1.6,0.0,6.56
