,Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
318,Cristian Dell'Orco,0.0,1,0.0,0.6,0.5,0.7,0.0,0.6,0.4,6.53
319,Alberto Cerri ,1,0.0,1.4,1.0,1.0,0.8,0.3,0.9,1.3,6.52
320,Jakub Jankto,2,4,1.4,1.5,0.2,0.5,0.1,0.4,0.8,6.52
321,Panagiotis Tachtsidis,0.0,2,1.0,0.9,0.7,1.0,0.0,0.6,1.0,6.52
322,Federico Bernardeschi,1,1,1.7,1.2,0.8,0.8,0.2,0.8,1.4,6.52
323,Hirving Lozano,4,1,1.3,0.8,0.9,1.4,0.2,0.6,1.0,6.52
324,Samuel Di Carmine,8,0.0,1.5,0.3,0.1,1.2,0.8,0.6,1.3,6.52
325,Marco Calderoni,3,2,0.9,0.8,0.3,1.4,0.1,0.3,1.0,6.52
326,Christian Oliva,1,1,0.3,0.2,0.3,0.2,0.0,0.3,0.6,6.51
327,Marco D'Alessandro ,2,0.0,0.4,0.9,1.6,0.6,0.1,0.3,1.1,6.51
328,Antonino Barillà ,1,2,0.7,0.6,0.2,0.8,0.1,0.4,1.0,6.51
329,Mato Jajalo,0.0,0.0,0.6,0.5,1.1,1.0,0.0,0.6,0.8,6.51
330,Filippo gna,0.0,0.0,0.1,0.2,0.1,0.7,0.0,0.0,0.2,6.5
331,Vincent Laurini ,0.0,2,0.0,0.4,0.7,1.3,0.0,0.9,0.6,6.5
332,Krzysztof Piatek,4,0.0,2.7,0.9,0.3,1.5,0.3,1.4,2.2,6.5
333,Lyanco,0.0,0.0,0.3,0.1,0.5,0.8,0.1,0.2,0.6,6.49
334,Faouzi Ghoulam,0.0,1,0.4,0.9,0.2,0.6,0.0,0.1,0.1,6.49
335,Mattia Perin,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,6.49
336,Valerio Verre,3,2,1.3,0.9,0.4,0.9,0.2,0.9,1.9,6.49
337,Ivan Radovanovic,0.0,1,0.8,0.8,0.1,0.8,0.0,0.3,0.6,6.49
338,Francesco Magnanelli,0.0,0.0,0.4,0.6,0.3,1.6,0.0,0.2,0.6,6.49
339,Alessandro Tripaldelli,0.0,0.0,0.0,0.0,0.5,1.5,0.0,0.0,1,6.49
340,Lorenzo Venuti,0.0,1,0.3,0.5,0.4,0.8,0.0,0.3,0.3,6.48
341,Patrick Cutrone,4,1,1.1,0.3,0.3,0.5,0.6,0.5,1.9,6.48
342,Jerdy Schouten,0.0,0.0,0.4,0.5,0.9,0.2,0.0,0.7,0.9,6.48
343,Marko Pajac,0.0,0.0,0.6,1.1,1,0.6,0.0,0.7,1.5,6.48
